"","SYMBOL","Just_Kinase","Result","HGNC_SYMBOL","CRO_Kinase","bin_25","bin_10","bin_25_range","bin_10_range"
"1","CDK3","CDK3/CYCE1",103.853403141361,"CDK3","CDK3/CYCE1","100","100","90-100","91-100"
"2","CDK6","CDK6/CYCD3",102.914602156806,"CDK6","CDK6/CYCD3","100","100","90-100","91-100"
"3","CDK2","CDK2/CYCA2",102.10289644227,"CDK2","CDK2/CYCA2","100","100","90-100","91-100"
"4","CDK4","CDK4/CYCD3",100.735824556341,"CDK4","CDK4/CYCD3","100","100","90-100","91-100"
"5","PKD1","PKD1",100.598086124402,"PKD1","PKD1","100","100","90-100","91-100"
"6","DYRK2","DYRK2",100.041109969168,"DYRK2","DYRK2","100","100","90-100","91-100"
"7","MAPK7","ERK5",98.690698860738,"MAPK7","ERK5","100","100","90-100","91-100"
"8","DYRK3","DYRK3",97.9961464354528,"DYRK3","DYRK3","100","100","90-100","91-100"
"9","PKD3","PKD3",95.2895419187554,"PKD3","PKD3","100","100","90-100","91-100"
"10","CDK5","CDK5/P25",95.1184834123223,"CDK5","CDK5/P25","100","100","90-100","91-100"
"11","CDK1","CDK1/CYCB1",94.8656237464902,"CDK1","CDK1/CYCB1","100","100","90-100","91-100"
"12","ROCK2","ROCK2",94.703497212367,"ROCK2","ROCK2","100","100","90-100","91-100"
"13","STK24","MST3",86.4484202512372,"STK24","MST3","90","90","76-90","81-90"
"14","RPS6KA3","RSK2",72.0724428894834,"RPS6KA3","RSK2","75","80","51-75","71-80"
"15","STK26","MST4",71.4855072463768,"STK26","MST4","75","80","51-75","71-80"
"16","MYLK2","SKMLCK",70.6933911159263,"MYLK2","SKMLCK","75","80","51-75","71-80"
"17","PRKCD","PKCD",68.2122370936902,"PRKCD","PKCD","75","70","51-75","61-70"
"18","MKNK2","MNK2",67.15418261345,"MKNK2","MNK2","75","70","51-75","61-70"
"19","MKNK1","MNK1",63.6222910216718,"MKNK1","MNK1","75","70","51-75","61-70"
"20","CDK9","CDK9/CYCT1",60.457942816467,"CDK9","CDK9/CYCT1","75","70","51-75","61-70"
"21","CLK3","CLK3",52.3996235884567,"CLK3","CLK3","75","60","51-75","51-60"
"22","GSK3B","GSK3B",52.2465651689566,"GSK3B","GSK3B","75","60","51-75","51-60"
